dataset	parser	chunker	overlap	retriever	model	top_k	total_questions	correct_answers	accuracy	avg_confidence	avg_judgment_time	sum_generation_time	avg_generation_time
financebench	pdfplumber	neural	128	SpladeRetriever	deepseek-r1:1.5b	1	150	8	0.0533	0.8403	6.01	165.7967640000001	1.1053117600000006
financebench	pdfplumber	neural	128	SpladeRetriever	gemma3:4b	1	150	29	0.1933	0.9143	2.71	108.02554699999997	0.7201703133333331
financebench	pdfplumber	neural	128	SpladeRetriever	llama3.2:3b	1	150	20	0.1333	0.8840	3.15	126.82331499999995	0.8454887666666664
financebench	pdfplumber	neural	128	SpladeRetriever	smollm2:1.7b	1	150	8	0.0533	0.9217	2.63	55.24097700000001	0.36827318000000003
financebench	pdfplumber	neural	128	SpladeRetriever	deepseek-r1:1.5b	3	150	5	0.0333	0.7930	2.74	193.51707299999998	1.29011382
financebench	pdfplumber	neural	128	SpladeRetriever	gemma3:4b	3	150	41	0.2733	0.9007	3.05	217.53038100000012	1.4502025400000007
financebench	pdfplumber	neural	128	SpladeRetriever	llama3.2:3b	3	150	21	0.1400	0.8830	2.79	185.27517700000007	1.2351678466666671
financebench	pdfplumber	neural	128	SpladeRetriever	smollm2:1.7b	3	150	10	0.0667	0.9147	2.53	167.99833000000007	1.119988866666667
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-4.1-mini	1	150	52	0.3467	0.9200	3.14	367.64296999999993	2.450953133333333
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-5-mini	1	150	54	0.3600	0.9310	2.70	1112.655412	7.417702746666667
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-4.1-mini	3	150	79	0.5267	0.9330	2.71	574.4512280000005	3.8296748533333367
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-5-mini	3	150	81	0.5400	0.9490	2.39	1526.3025069999999	10.175350046666665
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-5	1	150	50	0.3333	0.9453	2.78	1315.214298	8.76809532
financebench	pdfplumber	neural	128	SpladeRetriever	gpt-5	3	150	78	0.5200	0.9423	2.26	3014.7095520000025	20.098063680000017
