document_path,document_name,company_name,report_type,report_year,page_number,table_count
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,19,2
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,24,2
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,5,3
financebench/PEPSICO_2023_8K_dated-2023-05-05.pdf,PEPSICO_2023_8K_dated-2023-05-05,PEPSICO_2023,8K,8K,4,2
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,23,2
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,22,2
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,20,3
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,35,2
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,170,3
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,16,2
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,40,3
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,27,2
financebench/MGMRESORTS_2023Q2_10Q.pdf,MGMRESORTS_2023Q2_10Q,MGMRESORTS,10Q,2023Q2,30,2
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,27,2
financebench/MGMRESORTS_2023Q2_10Q.pdf,MGMRESORTS_2023Q2_10Q,MGMRESORTS,10Q,2023Q2,17,2
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,143,2
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,39,2
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,151,3
financebench/3M_2023Q2_10Q.pdf,3M_2023Q2_10Q,3M,10Q,2023Q2,20,3
financebench/BESTBUY_2024Q2_10Q.pdf,BESTBUY_2024Q2_10Q,BESTBUY,10Q,2024Q2,19,2
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,25,2
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,110,2
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,62,2
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,124,2
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,71,2
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,50,2
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,46,2
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,150,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,18,3
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,2,5
financebench/AMCOR_2023Q4_EARNINGS.pdf,AMCOR_2023Q4_EARNINGS,AMCOR,EARNINGS,2023Q4,14,2
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,13,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,20,2
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,11,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,21,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,19,3
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,1,2
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,17,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,9,2
financebench/ULTABEAUTY_2023Q4_EARNINGS.pdf,ULTABEAUTY_2023Q4_EARNINGS,ULTABEAUTY,EARNINGS,2023Q4,9,2
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,13,2
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,8,3
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,15,3
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,17,3
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,16,3
financebench/MGMRESORTS_2022Q4_EARNINGS.pdf,MGMRESORTS_2022Q4_EARNINGS,MGMRESORTS,EARNINGS,2022Q4,5,4
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,8,3
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,2,2
financebench/ULTABEAUTY_2023Q4_EARNINGS.pdf,ULTABEAUTY_2023Q4_EARNINGS,ULTABEAUTY,EARNINGS,2023Q4,6,2
financebench/BOEING_2022_10K.pdf,BOEING_2022_10K,BOEING,10K,2022,80,2
financebench/BOEING_2022_10K.pdf,BOEING_2022_10K,BOEING,10K,2022,24,2
financebench/MGMRESORTS_2022_10K.pdf,MGMRESORTS_2022_10K,MGMRESORTS,10K,2022,87,2
financebench/JPMORGAN_2022_10K.pdf,JPMORGAN_2022_10K,JPMORGAN,10K,2022,263,3
financebench/JPMORGAN_2022_10K.pdf,JPMORGAN_2022_10K,JPMORGAN,10K,2022,123,2
financebench/PEPSICO_2022_10K.pdf,PEPSICO_2022_10K,PEPSICO,10K,2022,73,2
financebench/VERIZON_2022_10K.pdf,VERIZON_2022_10K,VERIZON,10K,2022,94,5
financebench/AMERICANWATERWORKS_2022_10K.pdf,AMERICANWATERWORKS_2022_10K,AMERICANWATERWORKS,10K,2022,68,2
