document_name,company_name,report_type,report_year,table_count
3M_2018_10K,3M,10K,2018,95
3M_2022_10K,3M,10K,2022,102
3M_2023Q2_10Q,3M,10Q,2023Q2,66
ACTIVISIONBLIZZARD_2019_10K,ACTIVISIONBLIZZARD,10K,2019,91
ADOBE_2015_10K,ADOBE,10K,2015,85
ADOBE_2016_10K,ADOBE,10K,2016,85
ADOBE_2017_10K,ADOBE,10K,2017,89
ADOBE_2022_10K,ADOBE,10K,2022,70
AES_2022_10K,AES,10K,2022,158
AMAZON_2017_10K,AMAZON,10K,2017,58
AMAZON_2019_10K,AMAZON,10K,2019,61
AMCOR_2020_10K,AMCOR,10K,2020,113
AMCOR_2022_8K_dated-2022-07-01,AMCOR_2022,8K,8K,3
AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,50
AMCOR_2023Q4_EARNINGS,AMCOR,EARNINGS,2023Q4,13
AMCOR_2023_10K,AMCOR,10K,2023,89
AMD_2015_10K,AMD,10K,2015,63
AMD_2022_10K,AMD,10K,2022,56
AMERICANEXPRESS_2022_10K,AMERICANEXPRESS,10K,2022,108
AMERICANWATERWORKS_2020_10K,AMERICANWATERWORKS,10K,2020,107
AMERICANWATERWORKS_2021_10K,AMERICANWATERWORKS,10K,2021,98
AMERICANWATERWORKS_2022_10K,AMERICANWATERWORKS,10K,2022,109
BESTBUY_2017_10K,BESTBUY,10K,2017,88
BESTBUY_2019_10K,BESTBUY,10K,2019,93
BESTBUY_2023_10K,BESTBUY,10K,2023,73
BESTBUY_2024Q2_10Q,BESTBUY,10Q,2024Q2,38
BLOCK_2016_10K,BLOCK,10K,2016,76
BLOCK_2020_10K,BLOCK,10K,2020,103
BOEING_2018_10K,BOEING,10K,2018,113
BOEING_2022_10K,BOEING,10K,2022,113
COCACOLA_2017_10K,COCACOLA,10K,2017,123
COCACOLA_2021_10K,COCACOLA,10K,2021,105
COCACOLA_2022_10K,COCACOLA,10K,2022,112
CORNING_2020_10K,CORNING,10K,2020,107
CORNING_2021_10K,CORNING,10K,2021,104
CORNING_2022_10K,CORNING,10K,2022,91
COSTCO_2021_10K,COSTCO,10K,2021,50
CVSHEALTH_2018_10K,CVSHEALTH,10K,2018,93
CVSHEALTH_2022_10K,CVSHEALTH,10K,2022,94
FOOTLOCKER_2022_8K_dated-2022-05-20,FOOTLOCKER_2022,8K,8K,1
FOOTLOCKER_2022_8K_dated_2022-08-19,FOOTLOCKER_2022_8K,8K,dated,0
GENERALMILLS_2019_10K,GENERALMILLS,10K,2019,126
GENERALMILLS_2020_10K,GENERALMILLS,10K,2020,119
GENERALMILLS_2022_10K,GENERALMILLS,10K,2022,101
JOHNSON_JOHNSON_2022Q4_EARNINGS,JOHNSON_JOHNSON,EARNINGS,2022Q4,32
JOHNSON_JOHNSON_2022_10K,JOHNSON_JOHNSON,10K,2022,96
JOHNSON_JOHNSON_2023Q2_EARNINGS,JOHNSON_JOHNSON,EARNINGS,2023Q2,38
JOHNSON_JOHNSON_2023_8K_dated-2023-08-30,JOHNSON_JOHNSON_2023,8K,8K,30
JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,220
JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,224
JPMORGAN_2022_10K,JPMORGAN,10K,2022,283
JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,252
KRAFTHEINZ_2019_10K,KRAFTHEINZ,10K,2019,130
LOCKHEEDMARTIN_2020_10K,LOCKHEEDMARTIN,10K,2020,56
LOCKHEEDMARTIN_2021_10K,LOCKHEEDMARTIN,10K,2021,55
LOCKHEEDMARTIN_2022_10K,LOCKHEEDMARTIN,10K,2022,58
MGMRESORTS_2018_10K,MGMRESORTS,10K,2018,99
MGMRESORTS_2020_10K,MGMRESORTS,10K,2020,73
MGMRESORTS_2022Q4_EARNINGS,MGMRESORTS,EARNINGS,2022Q4,15
MGMRESORTS_2022_10K,MGMRESORTS,10K,2022,78
MGMRESORTS_2023Q2_10Q,MGMRESORTS,10Q,2023Q2,49
MICROSOFT_2016_10K,MICROSOFT,10K,2016,76
MICROSOFT_2023_10K,MICROSOFT,10K,2023,63
NETFLIX_2015_10K,NETFLIX,10K,2015,50
NETFLIX_2017_10K,NETFLIX,10K,2017,52
NIKE_2018_10K,NIKE,10K,2018,64
NIKE_2019_10K,NIKE,10K,2019,69
NIKE_2021_10K,NIKE,10K,2021,64
NIKE_2023_10K,NIKE,10K,2023,65
PAYPAL_2022_10K,PAYPAL,10K,2022,88
PEPSICO_2021_10K,PEPSICO,10K,2021,82
PEPSICO_2022_10K,PEPSICO,10K,2022,85
PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,16
PEPSICO_2023_8K_dated-2023-05-05,PEPSICO_2023,8K,8K,4
PEPSICO_2023_8K_dated-2023-05-30,PEPSICO_2023,8K,8K,8
PFIZER_2021_10K,PFIZER,10K,2021,111
Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,58
ULTABEAUTY_2023Q4_EARNINGS,ULTABEAUTY,EARNINGS,2023Q4,8
ULTABEAUTY_2023_10K,ULTABEAUTY,10K,2023,57
VERIZON_2021_10K,VERIZON,10K,2021,107
VERIZON_2022_10K,VERIZON,10K,2022,103
WALMART_2018_10K,WALMART,10K,2018,91
WALMART_2019_10K,WALMART,10K,2019,86
WALMART_2020_10K,WALMART,10K,2020,81
