document_path,document_name,company_name,report_type,report_year,page_number,table_count
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,5,1
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,1,1
financebench/PEPSICO_2023_8K_dated-2023-05-05.pdf,PEPSICO_2023_8K_dated-2023-05-05,PEPSICO_2023,8K,8K,3,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,161,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,38,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,149,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,83,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,41,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,74,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,21,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,166,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,123,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,47,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,5,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,1,1
financebench/BESTBUY_2024Q2_10Q.pdf,BESTBUY_2024Q2_10Q,BESTBUY,10Q,2024Q2,21,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,93,1
financebench/3M_2023Q2_10Q.pdf,3M_2023Q2_10Q,3M,10Q,2023Q2,19,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,137,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,15,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,114,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,181,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,65,1
financebench/GENERALMILLS_2019_10K.pdf,GENERALMILLS_2019_10K,GENERALMILLS,10K,2019,98,1
financebench/BESTBUY_2019_10K.pdf,BESTBUY_2019_10K,BESTBUY,10K,2019,37,1
financebench/GENERALMILLS_2019_10K.pdf,GENERALMILLS_2019_10K,GENERALMILLS,10K,2019,64,1
financebench/JPMORGAN_2022_10K.pdf,JPMORGAN_2022_10K,JPMORGAN,10K,2022,92,1
financebench/AES_2022_10K.pdf,AES_2022_10K,AES,10K,2022,103,1
financebench/GENERALMILLS_2022_10K.pdf,GENERALMILLS_2022_10K,GENERALMILLS,10K,2022,82,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,30,1
financebench/AMCOR_2023_10K.pdf,AMCOR_2023_10K,AMCOR,10K,2023,73,1
