document_path,document_name,company_name,report_type,report_year,page_number,table_count
financebench/AMCOR_2023Q4_EARNINGS.pdf,AMCOR_2023Q4_EARNINGS,AMCOR,EARNINGS,2023Q4,8,1
financebench/MGMRESORTS_2022Q4_EARNINGS.pdf,MGMRESORTS_2022Q4_EARNINGS,MGMRESORTS,EARNINGS,2022Q4,15,1
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,7,1
financebench/ULTABEAUTY_2023Q4_EARNINGS.pdf,ULTABEAUTY_2023Q4_EARNINGS,ULTABEAUTY,EARNINGS,2023Q4,7,1
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,12,1
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,14,1
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,5,1
financebench/JOHNSON-JOHNSON_2022Q4_EARNINGS.pdf,JOHNSON-JOHNSON_2022Q4_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2022Q4,12,1
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,4,1
financebench/PEPSICO_2023Q1_EARNINGS.pdf,PEPSICO_2023Q1_EARNINGS,PEPSICO,EARNINGS,2023Q1,13,1
financebench/JOHNSON-JOHNSON_2023Q2_EARNINGS.pdf,JOHNSON-JOHNSON_2023Q2_EARNINGS,JOHNSON-JOHNSON,EARNINGS,2023Q2,14,1
financebench/AMCOR_2023Q4_EARNINGS.pdf,AMCOR_2023Q4_EARNINGS,AMCOR,EARNINGS,2023Q4,10,1
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,17,1
financebench/JOHNSON-JOHNSON_2023_8K_dated-2023-08-30.pdf,JOHNSON-JOHNSON_2023_8K_dated-2023-08-30,JOHNSON-JOHNSON_2023,8K,8K,15,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,10,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,113,1
financebench/MGMRESORTS_2023Q2_10Q.pdf,MGMRESORTS_2023Q2_10Q,MGMRESORTS,10Q,2023Q2,35,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,116,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,178,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,11,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,24,1
financebench/JPMORGAN_2023Q2_10Q.pdf,JPMORGAN_2023Q2_10Q,JPMORGAN,10Q,2023Q2,111,1
financebench/AMCOR_2023Q2_10Q.pdf,AMCOR_2023Q2_10Q,AMCOR,10Q,2023Q2,5,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,26,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,127,1
financebench/JPMORGAN_2021Q1_10Q.pdf,JPMORGAN_2021Q1_10Q,JPMORGAN,10Q,2021Q1,55,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,16,1
financebench/Pfizer_2023Q2_10Q.pdf,Pfizer_2023Q2_10Q,Pfizer,10Q,2023Q2,27,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,79,1
financebench/3M_2023Q2_10Q.pdf,3M_2023Q2_10Q,3M,10Q,2023Q2,92,1
financebench/BESTBUY_2024Q2_10Q.pdf,BESTBUY_2024Q2_10Q,BESTBUY,10Q,2024Q2,4,1
financebench/3M_2023Q2_10Q.pdf,3M_2023Q2_10Q,3M,10Q,2023Q2,66,1
financebench/MGMRESORTS_2023Q2_10Q.pdf,MGMRESORTS_2023Q2_10Q,MGMRESORTS,10Q,2023Q2,18,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,62,1
financebench/JPMORGAN_2022Q2_10Q.pdf,JPMORGAN_2022Q2_10Q,JPMORGAN,10Q,2022Q2,142,1
