document_path,document_name,company_name,report_type,report_year,page_number,table_count
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,1,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,8,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,14,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,20,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,21,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,22,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,24,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,26,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,27,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,28,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,29,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,30,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,31,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,33,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,34,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,48,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,53,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,54,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,55,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,58,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,59,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,60,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,61,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,62,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,66,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,67,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,70,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,71,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,72,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,73,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,74,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,77,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,79,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,82,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,83,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,84,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,85,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,90,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,95,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,96,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,97,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,98,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,102,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,104,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,105,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,106,1
financebench/CORNING_2022_10K.pdf,CORNING_2022_10K,CORNING,10K,2022,154,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,1,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,9,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,15,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,20,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,23,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,26,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,27,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,29,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,31,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,32,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,34,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,35,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,37,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,38,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,51,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,56,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,65,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,66,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,70,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,71,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,72,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,73,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,74,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,77,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,78,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,82,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,86,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,88,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,90,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,91,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,97,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,99,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,100,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,101,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,102,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,104,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,106,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,111,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,116,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,118,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,119,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,120,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,121,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,122,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,123,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,126,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,128,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,129,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,130,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,131,1
financebench/CORNING_2020_10K.pdf,CORNING_2020_10K,CORNING,10K,2020,133,1
